ID,title,rating,ratingLevel,ratingDescription,release year,user rating score,user rating size,genre,title,length,On air Status
646,Cooper Barrett's Guide to Surviving Life,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,68,82,ActionAdventure,Cooper Barrett's Guide to Surviving Life,30m,2016
998,The Great British Baking Show,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2016,81,80,Biography,The Great British Baking Show,1h,On air 
766,Life in Pieces,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,81,80,Action,Life in Pieces,22m,On air 
799,Crazy Ex-Girlfriend,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2017,81,82,Drama,Crazy Ex-Girlfriend,42m,On air 
955,Easy,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,81,82,Horror,Easy,30n,On air 
859,No Tomorrow,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,81,82,ActionAdventure,No Tomorrow,43m,2016-2017
602,Minimalism: A Documentary About the Important Things,TV-PG,,70,2016,81,82,Action,Minimalism: A Documentary About the Important Things,1h 18m,2016
947,Hot Girls Wanted: Turned On,TV-MA,,110,2017,81,82,Action,Hot Girls Wanted: Turned On,46m,On air 
530,Win It All,TV-MA,,110,2017,81,82,Animation,Win It All,1h 28m,2017
694,MerlÌ?,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2015,71,82,Crime,MerlÌ?,58m,2015-2018
833,Amy Schumer: The Leather Special,TV-MA,,110,2017,94,82,Action,Amy Schumer: The Leather Special,57m,2017
920,Louis C.K. 2017,TV-MA,,110,2017,81,80,Comedy,Louis C.K. 2017,1h 14m,2017
976,Dave Chappelle,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,81,80,Drama,Dave Chappelle,1h 16m,2017
798,Almost Adults,NR,This movie has not been rated.,124,2016,81,82,Crime,Almost Adults,1h 30m,2017
534,The Brothers,R,strong sexual content and language,100,2001,88,82,Comedy,The Brothers,1h 46m,2001
614,Skins,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2013,59,82,Documentary,Skins,46m,2007-2013
956,The Cleveland Show,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,73,80,Mystery,The Cleveland Show,22m,2009-2013
820,Absolutely Fabulous,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,81,80,Drama,Absolutely Fabulous,45m,1992-2012
874,Raising Hope,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,63,80,Comedy,Raising Hope,22m,2010-2014
687,Come Fly With Me,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2010,81,82,Biography,Come Fly With Me,29m,2010-2011
530,Brickleberry,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2014,81,80,Comedy,Brickleberry,22m,2012-2015
608,BoJack Horseman,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,81,82,Drama,BoJack Horseman,25m,On air 
728,Being Mary Jane: The Series,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,81,82,Biography,Being Mary Jane: The Series,1h,On air 
847,Unbreakable Kimmy Schmidt,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,86,82,Thriller,Unbreakable Kimmy Schmidt,30m,2015-2019
725,Bordertown,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,91,80,Action,Bordertown,1h,On air 
600,Jane The Virgin,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,74,80,Comedy,Jane The Virgin,1h,On air 
958,Dope,R,language drug content sexuality/nudity and some violence-all involving teens,100,2015,79,80,Comedy,Dope,1h 43m,2015
874,The Carmichael Show,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,81,80,Drama,The Carmichael Show,21m,2015-2017
821,November Rule,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,69,82,Comedy,November Rule,1h 34m,2015
707,Haters Back Off,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,81,80,Comedy,Haters Back Off,30m,2016-2017
538,Kubo and the Two Strings,PG,thematic elements scary images action and peril,60,2016,94,80,Animation,Kubo and the Two Strings,1h 41m,2016
672,Skins,TV-MA,,110,2017,81,82,Crime,Skins,46m,2007-2013
969,A Weekend with the Family,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,68,82,Comedy,A Weekend with the Family,1h 22m,2016
825,Crazyhead,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,81,82,Comedy,Crazyhead,1h,2016
844,Queen of Katwe,PG,thematic elements an accident scene and some suggestive material,60,2016,81,81,Comedy,Queen of Katwe,2h 4m,2016
580,Little Boxes,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,58,80,Comedy,Little Boxes,1h 24m,2017
981,Deidra & Laney Rob a Train,TV-14,,90,2017,96,82,Comedy,Deidra & Laney Rob a Train,1h 32m,2017
601,Hurricane Bianca,TV-MA,,110,2016,81,82,Horror,Hurricane Bianca,1h 24m,2016
894,Honeytrap,NR,This movie has not been rated.,124,2014,81,82,Crime,Honeytrap,1h 33m,2016
674,Greenleaf,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,81,80,Documentary,Greenleaf,1h,On air 
565,Lazy Eye,TV-MA,,110,2016,81,82,Horror,Lazy Eye,1h 27m,2016
557,Like Cotton Twines,NR,,124,2016,61,82,Comedy,Like Cotton Twines,1h 36m,2016
550,The Wedding Party,TV-14,,90,2016,81,82,Crime,The Wedding Party,1h 32m,1969
582,Boy Bye,TV-MA,,110,2016,81,82,Drama,Boy Bye,1h 23m,2016
729,Nancy Drew,PG,Parental guidance suggested. May not be suitable for children.,60,2007,81,82,Comedy,Nancy Drew,1h 39m,2007
547,Nurse Jackie,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,62,80,Fantasy,Nurse Jackie,27m,2009-2015
601,Drop Dead Diva,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2014,81,82,FantasyandHorror,Drop Dead Diva,1h,2009-2014
608,Gilmore Girls,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2006,81,80,Crime,Gilmore Girls,44m,2000-2007
821,Parenthood,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2014,81,80,Animation,Parenthood,1h,2010-2015
973,Life Unexpected,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2010,94,80,Animation,Life Unexpected,1h,2010-2011
